"RelativePath","AssetRoot","Extension","SourceBytes","OfficialBytes","Content"
"Music\Battle\MW battle 4.mp3","Music",".mp3","1778432","2217274","Different"
"Music\Battle\MW battle 7.mp3","Music",".mp3","1328048","2102753","Different"
"Music\Battle\MW battle 8.mp3","Music",".mp3","731485","1971096","Different"
"Music\Battle\MW battle1.mp3","Music",".mp3","2025103","2027520","Different"
"Music\Battle\MW battle2.mp3","Music",".mp3","1023919","1999935","Different"
"Music\Battle\MW battle3.mp3","Music",".mp3","1328047","2137444","Different"
"Music\Battle\MW battle5.mp3","Music",".mp3","1778431","2457183","Different"
"Music\Explore\Morrowind Title.mp3","Music",".mp3","2195608","1826482","Different"
"Music\Explore\mx_explore_1.mp3","Music",".mp3","2053725","2959151","Different"
"Music\Explore\mx_explore_2.mp3","Music",".mp3","2770965","2975452","Different"
"Music\Explore\mx_explore_3.mp3","Music",".mp3","981228","3127589","Different"
"Music\Explore\mx_explore_4.mp3","Music",".mp3","1490958","3140964","Different"
"Music\Explore\mx_explore_5.mp3","Music",".mp3","1498038","3061551","Different"
"Music\Explore\mx_explore_6.mp3","Music",".mp3","1904710","3088301","Different"
"Music\Explore\mx_explore_7.mp3","Music",".mp3","1056630","3327374","Different"
"Music\Special\morrowind title.mp3","Music",".mp3","2195608","1826482","Different"
"Music\Special\MW_Death.mp3","Music",".mp3","282959","282959","Identical"
"Music\Special\MW_Triumph.mp3","Music",".mp3","234894","234894","Identical"
"Sound\Cr\_OLD\temp creature_1.wav","Sound",".wav","165768","165768","Identical"
"Sound\Cr\_OLD\temp creature_2.wav","Sound",".wav","93714","93714","Identical"
"Sound\Cr\_OLD\temp creature_3.wav","Sound",".wav","57596","57596","Identical"
"Sound\Cr\_OLD\tempB_1.wav","Sound",".wav","147496","147496","Identical"
"Sound\Cr\_OLD\tempB_2.wav","Sound",".wav","33698","33698","Identical"
"Sound\Cr\_OLD\tempB_3.wav","Sound",".wav","167244","167244","Identical"
"Sound\Cr\_OLD\tempC_1.wav","Sound",".wav","22826","22826","Identical"
"Sound\Cr\_OLD\tempC_2.wav","Sound",".wav","28858","28858","Identical"
"Sound\Cr\_OLD\tempC_3.wav","Sound",".wav","32544","32544","Identical"
"Sound\Cr\alamlexia\alamATT01.wav","Sound",".wav","65476","65476","Identical"
"Sound\Cr\alamlexia\alamATT02.wav","Sound",".wav","104046","104046","Identical"
"Sound\Cr\alamlexia\alamATT03.wav","Sound",".wav","117206","117206","Identical"
"Sound\Cr\alamlexia\alamHIT01.wav","Sound",".wav","65498","65498","Identical"
"Sound\Cr\alamlexia\alamHIT02.wav","Sound",".wav","54550","54550","Identical"
"Sound\Cr\alamlexia\alamHIT03.wav","Sound",".wav","176236","176236","Identical"
"Sound\Cr\alit\moan.wav","Sound",".wav","33944","33944","Identical"
"Sound\Cr\alit\roar.wav","Sound",".wav","32336","32336","Identical"
"Sound\Cr\alit\scrm.wav","Sound",".wav","64088","64088","Identical"
"Sound\Cr\ancghst\moan.wav","Sound",".wav","89752","89752","Identical"
"Sound\Cr\ancghst\roar.wav","Sound",".wav","28366","28366","Identical"
"Sound\Cr\ancghst\scrm.wav","Sound",".wav","112664","112664","Identical"
"Sound\Cr\ascslp\moan.wav","Sound",".wav","59958","59958","Identical"
"Sound\Cr\ascslp\roar.wav","Sound",".wav","35030","35030","Identical"
"Sound\Cr\ascslp\scrm.wav","Sound",".wav","52978","52978","Identical"
"Sound\Cr\ashgl\moan.wav","Sound",".wav","69994","69994","Identical"
"Sound\Cr\ashgl\roar.wav","Sound",".wav","18778","18778","Identical"
"Sound\Cr\ashgl\scrm.wav","Sound",".wav","60184","60184","Identical"
"Sound\Cr\ashslv\moan.wav","Sound",".wav","64280","64280","Identical"
"Sound\Cr\ashslv\roar.wav","Sound",".wav","19864","19864","Identical"
"Sound\Cr\ashslv\scrm.wav","Sound",".wav","88276","88276","Identical"
"Sound\Cr\ashvamp\moan.wav","Sound",".wav","99368","99368","Identical"
"Sound\Cr\ashvamp\roar.wav","Sound",".wav","18778","18778","Identical"
"Sound\Cr\ashvamp\scrm.wav","Sound",".wav","90008","90008","Identical"
"Sound\Cr\ashzm\moan.wav","Sound",".wav","119922","119922","Identical"
"Sound\Cr\ashzm\roar.wav","Sound",".wav","14880","14880","Identical"
"Sound\Cr\ashzm\scrm.wav","Sound",".wav","91902","91902","Identical"
"Sound\Cr\atrofl\moan.wav","Sound",".wav","43308","43308","Identical"
"Sound\Cr\atrofl\roar.wav","Sound",".wav","18616","18616","Identical"
"Sound\Cr\atrofl\scrm.wav","Sound",".wav","54544","54544","Identical"
"Sound\Cr\atrofr\moan.wav","Sound",".wav","43544","43544","Identical"
"Sound\Cr\atrofr\roar.wav","Sound",".wav","17304","17304","Identical"
"Sound\Cr\atrofr\scrm.wav","Sound",".wav","60618","60618","Identical"
"Sound\Cr\atrost\moan.wav","Sound",".wav","78424","78424","Identical"
"Sound\Cr\atrost\roar.wav","Sound",".wav","40152","40152","Identical"
"Sound\Cr\atrost\scrm.wav","Sound",".wav","92194","92194","Identical"
"Sound\Cr\bear\moan.wav","Sound",".wav","32448","32448","Identical"
"Sound\Cr\bear\roar.wav","Sound",".wav","39808","39808","Identical"
"Sound\Cr\bear\scrm.wav","Sound",".wav","76772","76772","Identical"
"Sound\Cr\bnlrd\moan.wav","Sound",".wav","64728","64728","Identical"
"Sound\Cr\bnlrd\roar.wav","Sound",".wav","26296","26296","Identical"
"Sound\Cr\bnlrd\scrm.wav","Sound",".wav","91928","91928","Identical"
"Sound\Cr\bnwlk\moan.wav","Sound",".wav","40120","40120","Identical"
"Sound\Cr\bnwlk\moan2.wav","Sound",".wav","58776","58776","Identical"
"Sound\Cr\bnwlk\roar.wav","Sound",".wav","37912","37912","Identical"
"Sound\Cr\bnwlk\scrm.wav","Sound",".wav","82968","82968","Identical"
"Sound\Cr\bnwlkw\moan.wav","Sound",".wav","40120","40120","Identical"
"Sound\Cr\bnwlkw\moan2.wav","Sound",".wav","58776","58776","Identical"
"Sound\Cr\bnwlkw\roar.wav","Sound",".wav","37912","37912","Identical"
"Sound\Cr\bnwlkw\scrm.wav","Sound",".wav","82968","82968","Identical"
"Sound\Cr\boar\moan (2).wav","Sound",".wav","55040","55040","Identical"
"Sound\Cr\boar\moan.wav","Sound",".wav","55040","55040","Identical"
"Sound\Cr\boar\roar.wav","Sound",".wav","51044","51044","Identical"
"Sound\Cr\boar\scrm.wav","Sound",".wav","64356","64356","Identical"
"Sound\Cr\centPROJ\centPROJshoot.wav","Sound",".wav","61894","61894","Identical"
"Sound\Cr\centspd\moan.wav","Sound",".wav","67178","67178","Identical"
"Sound\Cr\centspd\roar.wav","Sound",".wav","18190","18190","Identical"
"Sound\Cr\centspd\scrm.wav","Sound",".wav","49318","49318","Identical"
"Sound\Cr\centspd\spidATTACK1.wav","Sound",".wav","23212","23212","Identical"
"Sound\Cr\centspd\spidATTACK2.wav","Sound",".wav","14376","14376","Identical"
"Sound\Cr\centspd\spiderHIT4.wav","Sound",".wav","48402","48402","Identical"
"Sound\Cr\centspd\spidLEFT.wav","Sound",".wav","20632","20632","Identical"
"Sound\Cr\centspd\spidRIGHT.wav","Sound",".wav","20760","20760","Identical"
"Sound\Cr\centsphr\moan.wav","Sound",".wav","42476","42476","Identical"
"Sound\Cr\centsphr\roar.wav","Sound",".wav","33874","33874","Identical"
"Sound\Cr\centsphr\scrm.wav","Sound",".wav","66138","66138","Identical"
"Sound\Cr\centsphr\sphrHIT1.wav","Sound",".wav","23640","23640","Identical"
"Sound\Cr\centsphr\sphrHIT3.wav","Sound",".wav","72508","72508","Identical"
"Sound\Cr\centsphr\steamROLL.wav","Sound",".wav","79706","79706","Identical"
"Sound\Cr\centstm\moan.wav","Sound",".wav","67480","67480","Identical"
"Sound\Cr\centstm\roar.wav","Sound",".wav","29766","29766","Identical"
"Sound\Cr\centstm\scrm.wav","Sound",".wav","72342","72342","Identical"
"Sound\Cr\centstm\steamATTACK.wav","Sound",".wav","13416","13416","Identical"
"Sound\Cr\centstm\steamATTACK2.wav","Sound",".wav","32242","32242","Identical"
"Sound\Cr\centstm\steamfall.wav","Sound",".wav","45996","45996","Identical"
"Sound\Cr\centstm\steamHIT1.wav","Sound",".wav","23640","23640","Identical"
"Sound\Cr\centstm\steamHIT2.wav","Sound",".wav","13714","13714","Identical"
"Sound\Cr\centstm\steamLEFT.wav","Sound",".wav","25624","25624","Identical"
"Sound\Cr\centstm\steamRIGHT.wav","Sound",".wav","28758","28758","Identical"
"Sound\Cr\clannf\moan.wav","Sound",".wav","78360","78360","Identical"
"Sound\Cr\clannf\roar.wav","Sound",".wav","25336","25336","Identical"
"Sound\Cr\clannf\scrm.wav","Sound",".wav","33768","33768","Identical"
