"Master","RecordType","RecordKey","Id","Name"
"Bloodmoon.esm","Apparatus","id:apparatus_a_spipe_01","apparatus_a_spipe_01","Pipe"
"Bloodmoon.esm","Armor","id:steel_cuirass","steel_cuirass","Steel Cuirass"
"Bloodmoon.esm","Cell","cell:|-12|1","",""
"Bloodmoon.esm","Cell","cell:|-12|2","",""
"Bloodmoon.esm","Cell","cell:|-12|3","",""
"Bloodmoon.esm","Cell","cell:|-13|1","",""
"Bloodmoon.esm","Cell","cell:|-13|2","",""
"Bloodmoon.esm","Cell","cell:|-13|3","",""
"Bloodmoon.esm","Cell","cell:|-13|4","",""
"Bloodmoon.esm","Cell","cell:|-14|2","",""
"Bloodmoon.esm","Cell","cell:|-14|4","",""
"Bloodmoon.esm","Cell","cell:|-14|5","",""
"Bloodmoon.esm","Cell","cell:|-15|7","",""
"Bloodmoon.esm","Cell","cell:|-15|-8","",""
"Bloodmoon.esm","Cell","cell:|-16|23","",""
"Bloodmoon.esm","Cell","cell:|-16|24","",""
"Bloodmoon.esm","Cell","cell:|-16|25","",""
"Bloodmoon.esm","Cell","cell:|-16|7","",""
"Bloodmoon.esm","Cell","cell:|-16|8","",""
"Bloodmoon.esm","Cell","cell:|-17|17","",""
"Bloodmoon.esm","Cell","cell:|-17|18","",""
"Bloodmoon.esm","Cell","cell:|-17|19","",""
"Bloodmoon.esm","Cell","cell:|-17|20","",""
"Bloodmoon.esm","Cell","cell:|-17|21","",""
"Bloodmoon.esm","Cell","cell:|-17|22","",""
"Bloodmoon.esm","Cell","cell:|-17|23","",""
"Bloodmoon.esm","Cell","cell:|-17|25","",""
"Bloodmoon.esm","Cell","cell:|-17|26","",""
"Bloodmoon.esm","Cell","cell:|-18|14","",""
"Bloodmoon.esm","Cell","cell:|-18|16","",""
"Bloodmoon.esm","Cell","cell:|-18|17","",""
"Bloodmoon.esm","Cell","cell:|-18|18","",""
"Bloodmoon.esm","Cell","cell:|-18|19","",""
"Bloodmoon.esm","Cell","cell:|-18|20","",""
"Bloodmoon.esm","Cell","cell:|-18|21","",""
"Bloodmoon.esm","Cell","cell:|-18|22","",""
"Bloodmoon.esm","Cell","cell:|-18|23","",""
"Bloodmoon.esm","Cell","cell:|-18|24","",""
"Bloodmoon.esm","Cell","cell:|-18|25","",""
"Bloodmoon.esm","Cell","cell:|-18|26","",""
